serialNumber,timestamp,unitPeriodUsage,typeid
F3FFD2E4,1491004800000,143,65
F3FFD2E4,1491005700000,135,65
F3FFD2E4,1491006600000,131,65
F3FFD2E4,1491007500000,128,65
F3FFD2E4,1491008400000,135,65
F3FFD2E4,1491009300000,135,65
F3FFD2E4,1491010200000,124,65
F3FFD2E4,1491011100000,112,65
F3FFD2E4,1491012000000,128,65
F3FFD2E4,1491012900000,109,65
F3FFD2E4,1491013800000,87,65
F3FFD2E4,1491014700000,78,65
F3FFD2E4,1491015600000,92,65
F3FFD2E4,1491016500000,73,65
F3FFD2E4,1491017400000,88,65
F3FFD2E4,1491018300000,92,65
F3FFD2E4,1491019200000,98,65
F3FFD2E4,1491020100000,43,65
F3FFD2E4,1491021000000,2,65
F3FFD2E4,1491021900000,29,65
F3FFD2E4,1491022800000,89,65
F3FFD2E4,1491023700000,93,65
F3FFD2E4,1491024600000,98,65
F3FFD2E4,1491025500000,75,65
F3FFD2E4,1491026400000,88,65
F3FFD2E4,1491027300000,92,65
F3FFD2E4,1491028200000,98,65
F3FFD2E4,1491029100000,76,65
F3FFD2E4,1491030000000,89,65
F3FFD2E4,1491030900000,91,65
F3FFD2E4,1491031800000,97,65
F3FFD2E4,1491032700000,77,65
F3FFD2E4,1491033600000,87,65
F3FFD2E4,1491034500000,111,65
F3FFD2E4,1491035400000,124,65
F3FFD2E4,1491036300000,127,65
F3FFD2E4,1491037200000,119,65
F3FFD2E4,1491038100000,117,65
F3FFD2E4,1491039000000,106,65
F3FFD2E4,1491039900000,100,65
F3FFD2E4,1491040800000,101,65
F3FFD2E4,1491041700000,101,65
F3FFD2E4,1491042600000,86,65
F3FFD2E4,1491043500000,2,65
F3FFD2E4,1491044400000,32,65
F3FFD2E4,1491045300000,111,65
F3FFD2E4,1491046200000,119,65
F3FFD2E4,1491047100000,126,65
F3FFD2E4,1491048000000,118,65
F3FFD2E4,1491048900000,111,65
F3FFD2E4,1491049800000,109,65
F3FFD2E4,1491050700000,111,65
F3FFD2E4,1491051600000,106,65
F3FFD2E4,1491052500000,97,65
F3FFD2E4,1491053400000,131,65
F3FFD2E4,1491054300000,133,65
F3FFD2E4,1491055200000,133,65
F3FFD2E4,1491056100000,134,65
F3FFD2E4,1491057000000,134,65
F3FFD2E4,1491057900000,133,65
F3FFD2E4,1491058800000,133,65
F3FFD2E4,1491059700000,133,65
F3FFD2E4,1491060600000,133,65
F3FFD2E4,1491061500000,134,65
F3FFD2E4,1491062400000,134,65
F3FFD2E4,1491063300000,134,65
F3FFD2E4,1491064200000,135,65
F3FFD2E4,1491065100000,134,65
F3FFD2E4,1491066000000,26,65
F3FFD2E4,1491066900000,12,65
F3FFD2E4,1491067800000,175,65
F3FFD2E4,1491068700000,348,65
F3FFD2E4,1491069600000,135,65
F3FFD2E4,1491070500000,133,65
F3FFD2E4,1491071400000,133,65
F3FFD2E4,1491072300000,133,65
F3FFD2E4,1491073200000,132,65
F3FFD2E4,1491074100000,132,65
F3FFD2E4,1491075000000,109,65
F3FFD2E4,1491075900000,301,65
F3FFD2E4,1491076800000,224,65
F3FFD2E4,1491077700000,133,65
F3FFD2E4,1491078600000,126,65
F3FFD2E4,1491079500000,131,65
F3FFD2E4,1491080400000,301,65
F3FFD2E4,1491081300000,211,65
F3FFD2E4,1491082200000,132,65
F3FFD2E4,1491083100000,131,65
F3FFD2E4,1491084000000,128,65
F3FFD2E4,1491084900000,218,65
F3FFD2E4,1491085800000,207,65
F3FFD2E4,1491086700000,132,65
F3FFD2E4,1491087600000,97,65
F3FFD2E4,1491088500000,50,65
F3FFD2E4,1491089400000,2,65
F3FFD2E4,1491090300000,1,65
F3FFD2E4,1491091200000,35,65
F3FFD2E4,1491092100000,97,65
F3FFD2E4,1491093000000,96,65
F3FFD2E4,1491093900000,349,65
F3FFD2E4,1491094800000,259,65
F3FFD2E4,1491095700000,94,65
F3FFD2E4,1491096600000,96,65
F3FFD2E4,1491097500000,97,65
F3FFD2E4,1491098400000,97,65
F3FFD2E4,1491099300000,98,65
F3FFD2E4,1491100200000,76,65
F3FFD2E4,1491101100000,91,65
F3FFD2E4,1491102000000,95,65
F3FFD2E4,1491102900000,96,65
F3FFD2E4,1491103800000,71,65
F3FFD2E4,1491104700000,91,65
F3FFD2E4,1491105600000,74,65
F3FFD2E4,1491106500000,88,65
F3FFD2E4,1491107400000,80,65
F3FFD2E4,1491108300000,81,65
F3FFD2E4,1491109200000,91,65
F3FFD2E4,1491110100000,8,65
F3FFD2E4,1491111000000,58,65
F3FFD2E4,1491111900000,1,65
F3FFD2E4,1491112800000,29,65
F3FFD2E4,1491113700000,71,65
F3FFD2E4,1491114600000,87,65
F3FFD2E4,1491115500000,93,65
F3FFD2E4,1491116400000,52,65
F3FFD2E4,1491117300000,69,65
F3FFD2E4,1491118200000,92,65
F3FFD2E4,1491119100000,71,65
F3FFD2E4,1491120000000,89,65
F3FFD2E4,1491120900000,93,65
F3FFD2E4,1491121800000,68,65
F3FFD2E4,1491122700000,89,65
F3FFD2E4,1491123600000,62,65
F3FFD2E4,1491124500000,58,65
F3FFD2E4,1491125400000,90,65
F3FFD2E4,1491126300000,91,65
F3FFD2E4,1491127200000,67,65
F3FFD2E4,1491128100000,86,65
F3FFD2E4,1491129000000,83,65
F3FFD2E4,1491129900000,72,65
F3FFD2E4,1491130800000,90,65
F3FFD2E4,1491131700000,91,65
F3FFD2E4,1491132600000,94,65
F3FFD2E4,1491133500000,109,65
F3FFD2E4,1491134400000,25,65
F3FFD2E4,1491135300000,1,65
F3FFD2E4,1491136200000,21,65
F3FFD2E4,1491137100000,101,65
F3FFD2E4,1491138000000,107,65
F3FFD2E4,1491138900000,108,65
F3FFD2E4,1491139800000,92,65
F3FFD2E4,1491140700000,91,65
F3FFD2E4,1491141600000,92,65
F3FFD2E4,1491142500000,91,65
F3FFD2E4,1491143400000,92,65
F3FFD2E4,1491144300000,93,65
F3FFD2E4,1491145200000,93,65
F3FFD2E4,1491146100000,91,65
F3FFD2E4,1491147000000,92,65
F3FFD2E4,1491147900000,92,65
F3FFD2E4,1491148800000,92,65
F3FFD2E4,1491149700000,90,65
F3FFD2E4,1491150600000,90,65
F3FFD2E4,1491151500000,90,65
F3FFD2E4,1491152400000,90,65
F3FFD2E4,1491153300000,91,65
F3FFD2E4,1491154200000,95,65
F3FFD2E4,1491155100000,96,65
F3FFD2E4,1491156000000,95,65
F3FFD2E4,1491156900000,49,65
F3FFD2E4,1491157800000,2,65
F3FFD2E4,1491158700000,91,65
F3FFD2E4,1491159600000,142,65
F3FFD2E4,1491160500000,183,65
F3FFD2E4,1491161400000,189,65
F3FFD2E4,1491162300000,135,65
F3FFD2E4,1491163200000,134,65
F3FFD2E4,1491164100000,135,65
F3FFD2E4,1491165000000,134,65
F3FFD2E4,1491165900000,134,65
F3FFD2E4,1491166800000,135,65
F3FFD2E4,1491167700000,124,65
