serialNumber,timestamp,unitPeriodUsage
F30200C8,1493564400000,64.00
F30200C8,1493565300000,80.00
F30200C8,1493566200000,105.00
F30200C8,1493567100000,73.00
F30200C8,1493568000000,47.00
F30200C8,1493568900000,77.00
F30200C8,1493569800000,46.00
F30200C8,1493570700000,60.00
F30200C8,1493571600000,66.00
F30200C8,1493572500000,115.00
F30200C8,1493573400000,315.00
F30200C8,1493574300000,307.00
F30200C8,1493575200000,309.00
F30200C8,1493576100000,314.00
F30200C8,1493577000000,345.00
F30200C8,1493577900000,372.00
F30200C8,1493578800000,322.00
F30200C8,1493579700000,328.00
F30200C8,1493580600000,306.00
F30200C8,1493581500000,336.00
F30200C8,1493582400000,354.00
F30200C8,1493583300000,355.00
F30200C8,1493584200000,353.00
F30200C8,1493585100000,83.00
F30200C8,1493586000000,64.00
F30200C8,1493586900000,92.00
F30200C8,1493587800000,72.00
F30200C8,1493588700000,117.00
F30200C8,1493589600000,166.00
F30200C8,1493590500000,151.00
F30200C8,1493591400000,201.00
F30200C8,1493592300000,198.00
F30200C8,1493593200000,239.00
F30200C8,1493594100000,133.00
F30200C8,1493595000000,196.00
F30200C8,1493595900000,131.00
F30200C8,1493596800000,161.00
F30200C8,1493597700000,225.00
F30200C8,1493598600000,184.00
F30200C8,1493599500000,183.00
F30200C8,1493600400000,179.00
F30200C8,1493601300000,117.00
F30200C8,1493602200000,97.00
F30200C8,1493603100000,92.00
F30200C8,1493604000000,90.00
F30200C8,1493604900000,32.00
F30200C8,1493605800000,55.00
F30200C8,1493606700000,69.00
F30200C8,1493607600000,80.00
F30200C8,1493608500000,59.00
F30200C8,1493609400000,53.00
F30200C8,1493610300000,33.00
F30200C8,1493611200000,32.00
F30200C8,1493612100000,59.00
F30200C8,1493613000000,58.00
F30200C8,1493613900000,72.00
F30200C8,1493614800000,45.00
F30200C8,1493615700000,52.00
F30200C8,1493616600000,32.00
F30200C8,1493617500000,55.00
F30200C8,1493618400000,57.00
F30200C8,1493619300000,109.00
F30200C8,1493620200000,76.00
F30200C8,1493621100000,52.00
