serialNumber,timestamp,unitPeriodUsage,typeid
F30200C8,1493564400000,3.89,62
F30200C8,1493565300000,26.34,62
F30200C8,1493566200000,26.25,62
F30200C8,1493567100000,26.28,62
F30200C8,1493568000000,0.56,62
F30200C8,1493568900000,0,62
F30200C8,1493569800000,0,62
F30200C8,1493570700000,16.8,62
F30200C8,1493571600000,26.31,62
F30200C8,1493572500000,26.34,62
F30200C8,1493573400000,9.86,62
F30200C8,1493574300000,0,62
F30200C8,1493575200000,0,62
F30200C8,1493576100000,5.88,62
F30200C8,1493577000000,26.28,62
F30200C8,1493577900000,26.31,62
F30200C8,1493578800000,17.67,62
F30200C8,1493579700000,0,62
F30200C8,1493580600000,0,62
F30200C8,1493581500000,0,62
F30200C8,1493582400000,23.91,62
F30200C8,1493583300000,26.34,62
F30200C8,1493584200000,24.93,62
F30200C8,1493585100000,0,62
F30200C8,1493586000000,0,62
F30200C8,1493586900000,0,62
F30200C8,1493587800000,16.07,62
F30200C8,1493588700000,26.34,62
F30200C8,1493589600000,26.34,62
F30200C8,1493590500000,24.67,62
F30200C8,1493591400000,25.75,62
F30200C8,1493592300000,26.13,62
F30200C8,1493593200000,26.34,62
F30200C8,1493594100000,26.28,62
F30200C8,1493595000000,26.34,62
F30200C8,1493595900000,25.87,62
F30200C8,1493596800000,25.28,62
F30200C8,1493597700000,26.13,62
F30200C8,1493598600000,3.8,62
F30200C8,1493599500000,0,62
F30200C8,1493600400000,0,62
F30200C8,1493601300000,23.21,62
F30200C8,1493602200000,26.31,62
F30200C8,1493603100000,26.34,62
F30200C8,1493604000000,3.89,62
F30200C8,1493604900000,0,62
F30200C8,1493605800000,0,62
F30200C8,1493606700000,14.46,62
F30200C8,1493607600000,26.28,62
F30200C8,1493608500000,26.22,62
F30200C8,1493609400000,8.25,62
F30200C8,1493610300000,0,62
F30200C8,1493611200000,0,62
F30200C8,1493612100000,7.58,62
F30200C8,1493613000000,26.31,62
F30200C8,1493613900000,26.28,62
F30200C8,1493614800000,14.08,62
F30200C8,1493615700000,0,62
F30200C8,1493616600000,0,62
F30200C8,1493617500000,0.73,62
F30200C8,1493618400000,26.34,62
F30200C8,1493619300000,26.34,62
F30200C8,1493620200000,24.64,62
